stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,geometry_point
S9159,9159,Regency Dr & Rainbow Crescent,,53.515484,-113.26408,4SCT,,0,,POINT (-113.26408 53.515484)
5480,5480,159 Street & 83 Avenue,,53.516894,-113.597423,1EDM,,0,,POINT (-113.597423 53.516894)
S5078,5078,Haythorne Rd & Parker Dr,,53.530187,-113.326093,4SCT,,0,,POINT (-113.326093 53.530187)
2372,2372,52 Street & 98 Avenue,,53.538183,-113.420614,1EDM,,0,,POINT (-113.420614 53.538183)
5272,5272,182 Street & 89 Avenue,,53.524201,-113.637955,1EDM,,0,,POINT (-113.637955 53.524201)
5229,5229,156 Street & 110 Avenue,,53.5559,-113.590067,1EDM,,0,,POINT (-113.590067 53.5559)
3435,3435,Youville Drive W & 31 Avenue,,53.462708,-113.432389,1EDM,,0,,POINT (-113.432389 53.462708)
5711,5711,166A Street & 113 Avenue,,53.561903,-113.606326,1EDM,,0,,POINT (-113.606326 53.561903)
5796,5796,182 Street & 86 Avenue,,53.519181,-113.637033,1EDM,,0,,POINT (-113.637033 53.519181)
5363,5363,165 Street & 95 Avenue,,53.531533,-113.607786,1EDM,,0,,POINT (-113.607786 53.531533)
1067,1067,34 Street & 116A Avenue,,53.569086,-113.393604,1EDM,,0,,POINT (-113.393604 53.569086)
2479,2479,93 Street & 66 Avenue,,53.502849,-113.469765,1EDM,,0,,POINT (-113.469765 53.502849)
A0409,0409,Arlington Dr & Arcand Dr,,53.623471,-113.600338,2STA,,0,,POINT (-113.600338 53.623471)
3144,3144,46 Street & Mill Woods Road S,,53.443815,-113.409929,1EDM,,0,,POINT (-113.409929 53.443815)
F6000,6000,Dow Centennial Centre Park & Ride,,53.682679,-113.237788,6FST,,0,,POINT (-113.237788 53.682679)
77671,77671,50 Street & Cy Becker Boulevard,,53.632576,-113.413402,1EDM,,0,,POINT (-113.413402 53.632576)
5115,5115,Cameron Heights Drive & Caldwell Way,,53.470279,-113.632161,1EDM,,0,,POINT (-113.632161 53.470279)
S9219,9219,Regency Dr & Ridgebrook Rd,,53.5158,-113.252313,4SCT,,0,,POINT (-113.252313 53.5158)
6057,6057,109 Street & 168A Avenue,,53.630371,-113.512119,1EDM,,0,,POINT (-113.512119 53.630371)
7779,7779,84 Street & 162 Avenue,,53.624889,-113.473694,1EDM,,0,,POINT (-113.473694 53.624889)
6342,6342,121 Street & 153 Avenue,,53.616752,-113.529864,1EDM,,0,,POINT (-113.529864 53.616752)
7891,7891,Hooper Crescent W Ent & Hooke Road,,53.584609,-113.391894,1EDM,,0,,POINT (-113.391894 53.584609)
77331,77331,82 Street & 137 Avenue,,53.59954,-113.466011,1EDM,,0,,POINT (-113.466011 53.59954)
9719,9719,James Mowatt Trail & 22 Avenue SW,,53.408418,-113.531772,1EDM,,0,,POINT (-113.531772 53.408418)
9673,9673,Ambleside Drive & Windermere Boulevard SW,,53.434345,-113.598218,1EDM,,0,,POINT (-113.598218 53.434345)
A0691,0691,Bellerose Dr & Inglewood Dr,,53.646374,-113.621613,2STA,,0,,POINT (-113.621613 53.646374)
S7870,7870,Lakeland Dr & Aspen Tr,,53.556871,-113.281629,4SCT,,0,,POINT (-113.281629 53.556871)
A0020,0020,Erin Ridge Dr & Ellington Cr,,53.666661,-113.622271,2STA,,0,,POINT (-113.622271 53.666661)
1087,1087,54 Street & 123 Avenue,,53.578402,-113.424232,1EDM,,0,,POINT (-113.424232 53.578402)
6615,6615,131A Street & 162 Avenue,,53.623628,-113.551853,1EDM,,0,,POINT (-113.551853 53.623628)
7960,7960,Habitat Crescent W Ent & Hermitage Road,,53.589506,-113.41588,1EDM,,0,,POINT (-113.41588 53.589506)
77433,77433,37 Street & 157 Avenue,,53.617682,-113.397763,1EDM,,0,,POINT (-113.397763 53.617682)
7766,7766,36 Street & 144 Avenue,,53.606283,-113.396108,1EDM,,0,,POINT (-113.396108 53.606283)
1236,1236,70 Street & 118 Avenue,,53.570324,-113.44929,1EDM,,0,,POINT (-113.44929 53.570324)
2008,2008,50 Street & 67 Avenue,,53.501937,-113.418384,1EDM,,0,,POINT (-113.418384 53.501937)
77121,77121,59A Street & 162B Avenue,,53.625754,-113.429081,1EDM,,0,,POINT (-113.429081 53.625754)
